icdCode,description
B2791,"Infectiousmononucleosis,unspecifiedwithpolyneuropathy"
B2792,"Infectiousmononucleosis,unspecifiedwithmeningitis"
B2799,"Infectiousmononucleosis,unspecifiedwithothercomplication"
B300,Keratoconjunctivitisduetoadenovirus
B301,Conjunctivitisduetoadenovirus
B302,Viralpharyngoconjunctivitis
B303,Acuteepidemichemorrhagicconjunctivitis(enteroviral)
B308,Otherviralconjunctivitis
B309,"Viralconjunctivitis,unspecified"
B330,Epidemicmyalgia
B331,RossRiverdisease
B3320,"Viralcarditis,unspecified"
B3321,Viralendocarditis
B3322,Viralmyocarditis
B3323,Viralpericarditis
B3324,Viralcardiomyopathy
B333,"Retrovirusinfections,notelsewhereclassified"
B334,Hantavirus(cardio)-pulmonarysyndrome[HPS][HCPS]
B338,Otherspecifiedviraldiseases
B340,"Adenovirusinfection,unspecified"
B341,"Enterovirusinfection,unspecified"
B342,"Coronavirusinfection,unspecified"
B343,"Parvovirusinfection,unspecified"
B344,"Papovavirusinfection,unspecified"
B348,Otherviralinfectionsofunspecifiedsite
B349,"Viralinfection,unspecified"
B350,Tineabarbaeandtineacapitis
B351,Tineaunguium
B352,Tineamanuum
B353,Tineapedis
B354,Tineacorporis
B355,Tineaimbricata
B356,Tineacruris
B358,Otherdermatophytoses
B359,"Dermatophytosis,unspecified"
B360,Pityriasisversicolor
B361,Tineanigra
B362,Whitepiedra
B363,Blackpiedra
B368,Otherspecifiedsuperficialmycoses
B369,"Superficialmycosis,unspecified"
B370,Candidalstomatitis
B371,Pulmonarycandidiasis
B372,Candidiasisofskinandnail
B3731,Acutecandidiasisofvulvaandvagina
B3732,Chroniccandidiasisofvulvaandvagina
B3741,Candidalcystitisandurethritis
B3742,Candidalbalanitis
B3749,Otherurogenitalcandidiasis
B375,Candidalmeningitis
B376,Candidalendocarditis
B377,Candidalsepsis
B3781,Candidalesophagitis
B3782,Candidalenteritis
B3783,Candidalcheilitis
B3784,Candidalotitisexterna
B3789,Othersitesofcandidiasis
B379,"Candidiasis,unspecified"
B380,Acutepulmonarycoccidioidomycosis
B381,Chronicpulmonarycoccidioidomycosis
B382,"Pulmonarycoccidioidomycosis,unspecified"
B383,Cutaneouscoccidioidomycosis
B384,Coccidioidomycosismeningitis
B387,Disseminatedcoccidioidomycosis
B3881,Prostaticcoccidioidomycosis
B3889,Otherformsofcoccidioidomycosis
B389,"Coccidioidomycosis,unspecified"
B390,Acutepulmonaryhistoplasmosiscapsulati
B391,Chronicpulmonaryhistoplasmosiscapsulati
B392,"Pulmonaryhistoplasmosiscapsulati,unspecified"
B393,Disseminatedhistoplasmosiscapsulati
B394,"Histoplasmosiscapsulati,unspecified"
B395,Histoplasmosisduboisii
B399,"Histoplasmosis,unspecified"
B400,Acutepulmonaryblastomycosis
B401,Chronicpulmonaryblastomycosis
B402,"Pulmonaryblastomycosis,unspecified"
B403,Cutaneousblastomycosis
B407,Disseminatedblastomycosis
B4081,Blastomycoticmeningoencephalitis
B4089,Otherformsofblastomycosis
B409,"Blastomycosis,unspecified"
B410,Pulmonaryparacoccidioidomycosis
B417,Disseminatedparacoccidioidomycosis
B418,Otherformsofparacoccidioidomycosis
B419,"Paracoccidioidomycosis,unspecified"
B420,Pulmonarysporotrichosis
B421,Lymphocutaneoussporotrichosis
B427,Disseminatedsporotrichosis
B4281,Cerebralsporotrichosis
B4282,Sporotrichosisarthritis
B4289,Otherformsofsporotrichosis
B429,"Sporotrichosis,unspecified"
B430,Cutaneouschromomycosis
B431,Pheomycoticbrainabscess
B432,Subcutaneouspheomycoticabscessandcyst
B438,Otherformsofchromomycosis
B439,"Chromomycosis,unspecified"
B440,Invasivepulmonaryaspergillosis
B441,Otherpulmonaryaspergillosis
B442,Tonsillaraspergillosis
B447,Disseminatedaspergillosis
B4481,Allergicbronchopulmonaryaspergillosis
B4489,Otherformsofaspergillosis
B449,"Aspergillosis,unspecified"
B450,Pulmonarycryptococcosis
B451,Cerebralcryptococcosis
B452,Cutaneouscryptococcosis
B453,Osseouscryptococcosis
B457,Disseminatedcryptococcosis
B458,Otherformsofcryptococcosis
B459,"Cryptococcosis,unspecified"
B460,Pulmonarymucormycosis
B461,Rhinocerebralmucormycosis
B462,Gastrointestinalmucormycosis
B463,Cutaneousmucormycosis
B464,Disseminatedmucormycosis
B465,"Mucormycosis,unspecified"
B468,Otherzygomycoses
B469,"Zygomycosis,unspecified"
B470,Eumycetoma
B471,Actinomycetoma
B479,"Mycetoma,unspecified"
B480,Lobomycosis
B481,Rhinosporidiosis
B482,Allescheriasis
B483,Geotrichosis
B484,Penicillosis
B488,Otherspecifiedmycoses
B49,Unspecifiedmycosis
B500,Plasmodiumfalciparummalariawithcerebralcomplications
B508,OthersevereandcomplicatedPlasmodiumfalciparummalaria
B509,"Plasmodiumfalciparummalaria,unspecified"
B510,Plasmodiumvivaxmalariawithruptureofspleen
B518,Plasmodiumvivaxmalariawithothercomplications
B519,Plasmodiumvivaxmalariawithoutcomplication
B520,Plasmodiummalariaemalariawithnephropathy
B528,Plasmodiummalariaemalariawithothercomplications
B529,Plasmodiummalariaemalariawithoutcomplication
B530,Plasmodiumovalemalaria
B531,Malariaduetosimianplasmodia
B538,"Othermalaria,notelsewhereclassified"
B54,Unspecifiedmalaria
B550,Visceralleishmaniasis
B551,Cutaneousleishmaniasis
B552,Mucocutaneousleishmaniasis
B559,"Leishmaniasis,unspecified"
B560,Gambiensetrypanosomiasis
B561,Rhodesiensetrypanosomiasis
B569,"Africantrypanosomiasis,unspecified"
B570,AcuteChagas'diseasewithheartinvolvement
B571,AcuteChagas'diseasewithoutheartinvolvement
B572,Chagas'disease(chronic)withheartinvolvement
B5730,"Chagas'diseasewithdigestivesysteminvolvement,unspecified"
B5731,MegaesophagusinChagas'disease
B5732,MegacoloninChagas'disease
B5739,OtherdigestivesysteminvolvementinChagas'disease
B5740,"Chagas'diseasewithnervoussysteminvolvement,unspecified"
B5741,MeningitisinChagas'disease
B5742,MeningoencephalitisinChagas'disease
B5749,OthernervoussysteminvolvementinChagas'disease
B575,Chagas'disease(chronic)withotherorganinvolvement
B5800,"Toxoplasmaoculopathy,unspecified"
B5801,Toxoplasmachorioretinitis
B5809,Othertoxoplasmaoculopathy
B581,Toxoplasmahepatitis
B582,Toxoplasmameningoencephalitis
B583,Pulmonarytoxoplasmosis
B5881,Toxoplasmamyocarditis
B5882,Toxoplasmamyositis
B5883,Toxoplasmatubulo-interstitialnephropathy
B5889,Toxoplasmosiswithotherorganinvolvement
B589,"Toxoplasmosis,unspecified"
B59,Pneumocystosis
B6000,"Babesiosis,unspecified"
B6001,BabesiosisduetoBabesiamicroti
B6002,BabesiosisduetoBabesiaduncani
B6003,BabesiosisduetoBabesiadivergens
B6009,Otherbabesiosis
B6010,"Acanthamebiasis,unspecified"
B6011,MeningoencephalitisduetoAcanthamoeba(culbertsoni)
B6012,ConjunctivitisduetoAcanthamoeba
B6013,KeratoconjunctivitisduetoAcanthamoeba
B6019,Otheracanthamebicdisease
B602,Naegleriasis
B608,Otherspecifiedprotozoaldiseases
B64,Unspecifiedprotozoaldisease
B650,SchistosomiasisduetoSchistosomahaematobium[urinaryschistosomiasis]
B651,SchistosomiasisduetoSchistosomamansoni[intestinalschistosomiasis]
B652,SchistosomiasisduetoSchistosomajaponicum
B653,Cercarialdermatitis
B658,Otherschistosomiasis
B659,"Schistosomiasis,unspecified"
B660,Opisthorchiasis
B661,Clonorchiasis
B662,Dicroceliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Otherspecifiedflukeinfections
B669,"Flukeinfection,unspecified"
B670,Echinococcusgranulosusinfectionofliver
B671,Echinococcusgranulosusinfectionoflung
B672,Echinococcusgranulosusinfectionofbone
B6731,"Echinococcusgranulosusinfection,thyroidgland"
B6732,"Echinococcusgranulosusinfection,multiplesites"
B6739,"Echinococcusgranulosusinfection,othersites"
B674,"Echinococcusgranulosusinfection,unspecified"
B675,Echinococcusmultilocularisinfectionofliver
B6761,"Echinococcusmultilocularisinfection,multiplesites"
B6769,"Echinococcusmultilocularisinfection,othersites"
B677,"Echinococcusmultilocularisinfection,unspecified"
B678,"Echinococcosis,unspecified,ofliver"
B6790,"Echinococcosis,unspecified"
B6799,Otherechinococcosis
B680,Taeniasoliumtaeniasis
B681,Taeniasaginatataeniasis
B689,"Taeniasis,unspecified"
B690,Cysticercosisofcentralnervoussystem
B691,Cysticercosisofeye
B6981,Myositisincysticercosis
B6989,Cysticercosisofothersites
B699,"Cysticercosis,unspecified"
B700,Diphyllobothriasis
B701,Sparganosis
B710,Hymenolepiasis
B711,Dipylidiasis
B718,Otherspecifiedcestodeinfections
B719,"Cestodeinfection,unspecified"
B72,Dracunculiasis
B7300,"Onchocerciasiswitheyeinvolvement,unspecified"
B7301,Onchocerciasiswithendophthalmitis
B7302,Onchocerciasiswithglaucoma
B7309,Onchocerciasiswithothereyeinvolvement
B731,Onchocerciasiswithouteyedisease
B740,FilariasisduetoWuchereriabancrofti
B741,FilariasisduetoBrugiamalayi
B742,FilariasisduetoBrugiatimori
B743,Loiasis
B744,Mansonelliasis
B748,Otherfilariases
B749,"Filariasis,unspecified"
B75,Trichinellosis
B760,Ancylostomiasis
B761,Necatoriasis
B768,Otherhookwormdiseases
B769,"Hookwormdisease,unspecified"
B770,Ascariasiswithintestinalcomplications
B7781,Ascariasispneumonia
B7789,Ascariasiswithothercomplications
B779,"Ascariasis,unspecified"
B780,Intestinalstrongyloidiasis
B781,Cutaneousstrongyloidiasis
B787,Disseminatedstrongyloidiasis
B789,"Strongyloidiasis,unspecified"
B79,Trichuriasis
B80,Enterobiasis
B810,Anisakiasis
B811,Intestinalcapillariasis
B812,Trichostrongyliasis
B813,Intestinalangiostrongyliasis
B814,Mixedintestinalhelminthiases
B818,Otherspecifiedintestinalhelminthiases
B820,"Intestinalhelminthiasis,unspecified"
B829,"Intestinalparasitism,unspecified"
B830,Viscerallarvamigrans
B831,Gnathostomiasis
B832,AngiostrongyliasisduetoParastrongyluscantonensis
B833,Syngamiasis
B834,Internalhirudiniasis
B838,Otherspecifiedhelminthiases
B839,"Helminthiasis,unspecified"
B850,PediculosisduetoPediculushumanuscapitis
B851,PediculosisduetoPediculushumanuscorporis
B852,"Pediculosis,unspecified"
B853,Phthiriasis
B854,Mixedpediculosisandphthiriasis
B86,Scabies
B870,Cutaneousmyiasis
B871,Woundmyiasis
B872,Ocularmyiasis
B873,Nasopharyngealmyiasis
B874,Auralmyiasis
B8781,Genitourinarymyiasis
B8782,Intestinalmyiasis
B8789,Myiasisofothersites
B879,"Myiasis,unspecified"
B880,Otheracariasis
B881,Tungiasis[sandfleainfestation]
B882,Otherarthropodinfestations
B883,Externalhirudiniasis
B888,Otherspecifiedinfestations
B889,"Infestation,unspecified"
B89,Unspecifiedparasiticdisease
B900,Sequelaeofcentralnervoussystemtuberculosis
B901,Sequelaeofgenitourinarytuberculosis
B902,Sequelaeoftuberculosisofbonesandjoints
B908,Sequelaeoftuberculosisofotherorgans
B909,Sequelaeofrespiratoryandunspecifiedtuberculosis
B91,Sequelaeofpoliomyelitis
B92,Sequelaeofleprosy
B940,Sequelaeoftrachoma
B941,Sequelaeofviralencephalitis
B942,Sequelaeofviralhepatitis
B948,Sequelaeofotherspecifiedinfectiousandparasiticdiseases
B949,Sequelaeofunspecifiedinfectiousandparasiticdisease
B950,"Streptococcus,groupA,asthecauseofdiseasesclassifiedelsewhere"
B951,"Streptococcus,groupB,asthecauseofdiseasesclassifiedelsewhere"
B952,Enterococcusasthecauseofdiseasesclassifiedelsewhere
B953,Streptococcuspneumoniaeasthecauseofdiseasesclassifiedelsewhere
B954,Otherstreptococcusasthecauseofdiseasesclassifiedelsewhere
B955,Unspecifiedstreptococcusasthecauseofdiseasesclassifiedelsewhere
B9561,MethicillinsusceptibleStaphylococcusaureusinfectionasthecauseofdiseasesclassifiedelsewhere
B9562,MethicillinresistantStaphylococcusaureusinfectionasthecauseofdiseasesclassifiedelsewhere
B957,Otherstaphylococcusasthecauseofdiseasesclassifiedelsewhere
B958,Unspecifiedstaphylococcusasthecauseofdiseasesclassifiedelsewhere
B960,Mycoplasmapneumoniae[M.pneumoniae]asthecauseofdiseasesclassifiedelsewhere
B961,Klebsiellapneumoniae[K.pneumoniae]asthecauseofdiseasesclassifiedelsewhere
B9620,UnspecifiedEscherichiacoli[E.coli]asthecauseofdiseasesclassifiedelsewhere
B9621,Shigatoxin-producingEscherichiacoli[E.coli][STEC]O157asthecauseofdiseasesclassifiedelsewhere
B9622,OtherspecifiedShigatoxin-producingEscherichiacoli[E.coli][STEC]asthecauseofdiseasesclassifiedelsewhere
B9623,UnspecifiedShigatoxin-producingEscherichiacoli[E.coli][STEC]asthecauseofdiseasesclassifiedelsewhere
B9629,OtherEscherichiacoli[E.coli]asthecauseofdiseasesclassifiedelsewhere
B963,Hemophilusinfluenzae[H.influenzae]asthecauseofdiseasesclassifiedelsewhere
B964,Proteus(mirabilis)(morganii)asthecauseofdiseasesclassifiedelsewhere
B965,Pseudomonas(aeruginosa)(mallei)(pseudomallei)asthecauseofdiseasesclassifiedelsewhere
B966,Bacteroidesfragilis[B.fragilis]asthecauseofdiseasesclassifiedelsewhere
B967,Clostridiumperfringens[C.perfringens]asthecauseofdiseasesclassifiedelsewhere
B9681,Helicobacterpylori[H.pylori]asthecauseofdiseasesclassifiedelsewhere
B9682,Vibriovulnificusasthecauseofdiseasesclassifiedelsewhere
B9689,Otherspecifiedbacterialagentsasthecauseofdiseasesclassifiedelsewhere
B970,Adenovirusasthecauseofdiseasesclassifiedelsewhere
B9710,Unspecifiedenterovirusasthecauseofdiseasesclassifiedelsewhere
B9711,Coxsackievirusasthecauseofdiseasesclassifiedelsewhere
B9712,Echovirusasthecauseofdiseasesclassifiedelsewhere
B9719,Otherenterovirusasthecauseofdiseasesclassifiedelsewhere
B9721,SARS-associatedcoronavirusasthecauseofdiseasesclassifiedelsewhere
B9729,Othercoronavirusasthecauseofdiseasesclassifiedelsewhere
B9730,Unspecifiedretrovirusasthecauseofdiseasesclassifiedelsewhere
B9731,Lentivirusasthecauseofdiseasesclassifiedelsewhere
B9732,Oncovirusasthecauseofdiseasesclassifiedelsewhere
B9733,"HumanT-celllymphotrophicvirus,typeI[HTLV-I]asthecauseofdiseasesclassifiedelsewhere"
B9734,"HumanT-celllymphotrophicvirus,typeII[HTLV-II]asthecauseofdiseasesclassifiedelsewhere"
B9735,"Humanimmunodeficiencyvirus,type2[HIV2]asthecauseofdiseasesclassifiedelsewhere"
B9739,Otherretrovirusasthecauseofdiseasesclassifiedelsewhere
B974,Respiratorysyncytialvirusasthecauseofdiseasesclassifiedelsewhere
B975,Reovirusasthecauseofdiseasesclassifiedelsewhere
B976,Parvovirusasthecauseofdiseasesclassifiedelsewhere
B977,Papillomavirusasthecauseofdiseasesclassifiedelsewhere
B9781,Humanmetapneumovirusasthecauseofdiseasesclassifiedelsewhere
B9789,Otherviralagentsasthecauseofdiseasesclassifiedelsewhere
B998,Otherinfectiousdisease
